age,experience,income,family,ccavg,education,mortgage,securities_account,cd_account,online,creditcard,personal_loan
34,9,180,1,8.9,3,0,0,0,0,0,1
38,14,130,4,4.7,3,134,0,0,0,0,1
46,21,193,2,8.1,3,0,0,0,0,0,1
38,13,119,1,3.3,2,0,0,1,1,1,1
42,18,141,3,5.0,3,0,1,1,1,0,1
32,7,132,4,1.1,2,412,0,0,1,0,1
37,12,194,4,0.2,3,211,1,1,1,1,1
50,26,190,3,2.1,3,240,0,0,1,0,1
56,31,131,2,1.2,3,0,0,0,0,0,1
31,7,135,4,3.8,2,0,0,1,1,1,1
54,30,133,2,2.6,3,0,0,0,0,0,1
55,30,118,4,5.6,2,0,0,0,1,0,1
58,34,149,4,7.2,2,0,0,1,1,1,1
26,0,132,3,6.5,3,0,0,0,0,1,1
29,0,134,4,6.5,3,0,0,0,0,0,1
42,17,168,2,7.9,2,0,0,0,1,0,1
29,3,148,3,4.1,1,0,0,0,1,0,1
46,21,159,3,1.9,3,315,0,0,1,0,1
36,11,158,1,5.1,3,0,0,1,1,1,1
64,39,172,4,3.1,1,282,0,1,1,1,1
65,39,170,3,7.9,3,99,0,1,1,0,1
53,29,120,4,2.7,2,111,1,1,1,0,1
54,28,170,2,6.2,2,325,0,0,1,0,1
65,41,134,3,3.9,3,121,0,0,1,0,1
42,16,111,2,1.2,3,251,0,0,1,0,1
44,19,172,2,4.3,3,391,1,1,1,0,1
41,15,159,1,5.5,3,0,0,1,1,0,1
49,25,195,4,3.0,1,617,0,0,0,0,1
57,31,165,1,1.6,2,0,0,0,1,0,1
40,16,119,2,4.2,2,0,0,0,1,0,1
44,20,101,3,4.4,2,82,0,0,0,0,1
63,39,101,1,3.9,1,0,1,1,1,0,1
59,34,99,1,4.4,1,0,0,0,0,0,1
56,30,158,4,6.1,1,0,0,0,0,0,1
40,15,173,4,6.6,1,0,0,1,1,1,1
26,2,60,2,3.0,1,132,0,0,0,0,1
28,4,155,4,5.3,2,0,0,0,1,0,1
57,32,174,1,6.8,2,466,0,0,1,0,1
65,41,133,4,2.0,1,0,0,0,0,1,1
54,30,100,4,3.4,3,0,0,0,0,0,1
36,10,179,3,6.6,1,0,0,0,1,0,1
28,3,115,4,3.1,2,0,0,0,0,0,1
58,32,113,2,3.8,2,119,0,1,1,1,1
58,28,122,1,3.0,3,115,0,0,1,0,1
29,4,183,3,8.3,3,0,0,0,1,0,1
48,22,149,2,5.5,2,0,1,1,1,0,1
43,19,83,4,3.6,3,0,0,0,0,1,1
64,39,182,1,1.2,2,547,0,0,1,0,1
43,19,152,3,6.1,2,0,0,0,0,0,1
56,32,173,1,4.6,2,88,0,1,1,0,1
36,12,69,3,3.1,2,0,0,0,1,0,1
64,39,122,4,0.2,1,378,0,0,1,0,1
44,20,131,1,4.9,3,0,0,0,1,0,1
53,28,175,3,3.6,3,0,0,1,1,1,1
49,25,161,3,6.5,2,485,1,1,0,0,1
48,22,152,1,3.5,3,0,0,0,1,0,1
28,3,170,1,0.1,3,0,0,0,0,0,1
33,8,115,4,2.9,2,0,0,0,1,0,1
57,32,165,4,2.7,3,0,0,0,1,0,1
47,22,122,1,5.1,3,163,1,0,0,0,1
54,29,129,4,4.2,3,0,0,0,0,0,1
65,41,185,3,2.0,2,0,0,0,0,0,1
65,41,105,1,3.0,2,282,1,1,1,0,1
34,9,164,1,6.0,3,0,0,0,1,0,1
35,9,109,3,4.0,1,0,0,0,0,0,1
45,21,132,3,1.2,2,0,0,1,1,1,1
45,20,114,2,4.4,2,0,0,0,0,0,1
61,35,152,3,3.3,3,0,0,0,1,0,1
64,37,138,2,2.8,2,0,0,0,1,0,1
47,21,109,4,1.8,1,0,0,0,0,0,1
26,2,172,2,6.9,2,0,0,0,1,0,1
54,28,165,1,4.1,3,0,0,1,1,1,1
50,26,135,2,4.6,3,91,0,0,1,0,1
53,28,192,2,6.4,3,0,0,0,0,0,1
56,32,158,3,3.7,3,0,0,0,1,0,1
54,30,194,3,6.0,3,587,1,1,1,1,1
45,15,202,3,10.0,3,0,0,0,0,0,1
55,29,132,3,5.9,2,307,0,0,0,0,1
50,25,130,1,1.1,2,0,0,0,1,0,1
36,12,150,4,5.4,1,0,1,1,1,0,1
63,37,124,3,5.0,2,170,0,0,0,0,1
57,33,182,2,3.3,3,372,0,0,0,0,1
32,6,120,4,5.4,1,301,0,1,1,1,1
50,24,161,3,3.4,1,212,0,0,1,0,1
30,3,172,3,3.4,2,0,0,0,0,1,1
65,41,195,3,0.4,1,0,1,1,0,1,1
65,40,95,3,3.7,2,138,0,0,0,1,1
61,36,193,1,4.7,3,203,0,0,1,0,1
38,13,129,4,4.4,1,140,0,0,0,0,1
59,34,83,2,3.4,3,0,0,0,1,0,1
37,12,169,2,5.2,3,249,0,0,1,0,1
62,36,135,2,5.2,2,0,0,0,1,0,1
43,19,174,3,1.7,3,231,0,1,1,1,1
63,38,83,2,3.4,1,0,0,0,0,0,1
36,12,142,3,2.3,2,0,0,1,1,1,1
41,15,185,1,3.6,2,0,0,0,0,0,1
44,19,99,3,3.5,3,357,0,0,0,0,1
50,26,192,2,1.8,3,301,0,1,1,1,1
27,3,118,1,3.3,2,0,0,0,1,0,1
58,33,122,4,0.2,2,0,0,1,1,0,1
29,4,110,4,2.5,3,0,0,0,0,0,1
56,30,145,4,5.7,2,0,0,1,1,1,1
41,16,175,2,1.1,3,0,0,0,1,0,1
53,27,145,2,6.1,3,294,0,1,1,1,1
47,21,83,1,3.8,1,97,0,0,0,0,1
41,17,138,3,6.9,2,0,0,0,1,0,1
30,5,125,4,0.5,3,0,0,1,1,0,1
44,18,75,2,3.5,1,0,0,0,1,0,1
29,3,175,3,3.3,3,329,0,0,1,0,1
60,35,191,4,5.6,3,0,0,0,0,0,1
50,24,188,3,1.3,1,184,0,0,0,1,1
35,10,182,1,0.3,2,229,0,1,1,1,1
32,8,104,2,3.7,1,0,0,0,0,1,1
30,5,171,2,1.9,2,0,0,0,0,0,1
30,4,73,3,3.3,1,0,0,1,1,1,1
51,26,134,4,4.5,3,0,1,1,1,0,1
32,7,143,3,2.9,3,0,0,0,1,0,1
33,7,120,1,3.2,3,0,0,0,1,0,1
36,11,181,3,1.4,1,0,0,0,0,0,1
41,17,94,3,3.8,2,327,1,1,1,0,1
30,5,112,4,5.0,2,0,0,0,0,1,1
29,3,103,4,3.4,1,0,0,0,1,0,1
28,3,71,1,3.3,2,149,1,1,1,0,1
32,7,123,2,2.9,2,0,0,0,1,0,1
26,1,190,4,1.3,2,197,0,0,1,0,1
63,37,165,4,5.1,3,0,0,0,0,0,1
30,6,118,2,2.8,2,0,0,0,0,0,1
38,13,169,1,6.8,3,0,0,1,1,1,1
33,8,130,3,6.3,2,99,0,0,0,1,1
60,35,130,3,6.3,3,437,0,1,1,1,1
38,13,113,4,1.7,2,0,0,0,0,1,1
56,30,164,4,0.5,2,234,0,1,1,1,1
31,7,192,1,0.0,2,0,0,0,1,0,1
60,36,145,4,6.9,1,380,0,0,0,1,1
26,0,179,4,2.1,2,0,0,0,0,0,1
52,25,180,2,9.0,2,297,0,0,1,0,1
26,2,171,3,6.0,2,0,0,0,1,0,1
39,13,139,3,3.4,1,483,0,0,1,0,1
60,35,135,3,0.3,3,0,0,0,1,0,1
50,26,179,1,2.9,3,0,0,0,0,1,1
47,23,190,4,0.3,3,305,0,0,0,0,1
55,29,172,1,5.2,2,0,0,0,0,0,1
46,22,183,1,3.1,2,0,0,1,1,1,1
63,39,101,2,3.9,3,294,0,0,1,0,1
40,14,129,1,5.9,3,0,0,0,1,0,1
65,39,184,1,5.4,3,176,0,1,1,1,1
65,41,154,2,4.6,2,0,1,1,1,1,1
60,33,154,1,3.0,2,0,1,1,1,0,1
65,39,160,4,3.8,1,237,0,0,1,0,1
35,9,141,2,4.5,2,0,0,0,0,0,1
52,28,178,3,5.4,3,147,0,0,1,0,1
52,26,91,1,4.3,2,0,0,1,1,1,1
30,6,191,2,4.4,2,0,0,0,1,0,1
43,17,64,4,3.0,3,221,0,0,1,0,1
40,16,155,4,0.1,3,0,0,1,1,1,1
59,35,102,4,3.0,2,115,0,0,1,0,1
41,16,114,4,3.5,1,0,0,0,0,1,1
34,8,65,1,3.0,1,227,0,0,1,0,1
29,5,122,4,3.0,1,0,0,0,0,1,1
43,19,170,4,4.25,1,318,0,1,1,1,1
61,36,184,4,2.3,2,342,0,1,1,1,1
57,32,124,1,0.2,2,0,0,0,1,0,1
56,31,192,1,7.0,3,0,0,1,1,0,1
36,6,138,1,7.0,3,86,0,0,1,0,1
55,29,111,2,3.6,3,0,0,0,0,1,1
48,23,84,4,3.1,2,0,1,1,1,0,1
53,29,154,4,7.4,3,0,0,0,0,0,1
61,36,153,1,2.6,2,0,1,1,0,1,1
31,5,93,2,3.1,2,0,0,0,1,0,1
30,6,193,3,6.3,3,0,0,0,1,0,1
58,34,152,4,3.6,3,0,0,0,0,0,1
62,36,158,2,6.3,3,0,0,0,1,0,1
48,18,182,4,6.0,3,0,0,0,1,0,1
33,7,139,1,4.0,3,106,0,1,1,1,1
51,25,190,2,4.2,2,0,0,0,1,0,1
48,23,173,3,0.2,1,0,0,1,1,1,1
37,11,139,2,0.8,2,421,0,0,1,0,1
57,31,114,4,5.2,1,0,1,1,1,0,1
43,19,125,3,2.4,1,0,0,0,1,0,1
33,8,155,1,7.4,3,0,0,0,0,0,1
