,Unnamed: 0,age,experience,income,zip_code,family,ccavg,education,mortgage,securities_account,cd_account,online,creditcard,personal_loan
0,0,25,1,49,91107,4,1.6,1,0,1,0,0,0,0
1,1,45,19,34,90089,3,1.5,1,0,1,0,0,0,0
2,2,39,15,11,94720,1,1.0,1,0,0,0,0,0,0
3,3,35,9,100,94112,1,2.7,2,0,0,0,0,0,0
4,4,35,8,45,91330,4,1.0,2,0,0,0,0,1,0
5,5,37,13,29,92121,4,0.4,2,155,0,0,1,0,0
6,6,53,27,72,91711,2,1.5,2,0,0,0,1,0,0
7,7,50,24,22,93943,1,0.3,3,0,0,0,0,1,0
8,8,35,10,81,90089,3,0.6,2,104,0,0,1,0,0
9,9,34,9,180,93023,1,8.9,3,0,0,0,0,0,1
10,10,65,39,105,94710,4,2.4,3,0,0,0,0,0,0
11,11,29,5,45,90277,3,0.1,2,0,0,0,1,0,0
12,12,48,23,114,93106,2,3.8,3,0,1,0,0,0,0
13,13,59,32,40,94920,4,2.5,2,0,0,0,1,0,0
14,14,67,41,112,91741,1,2.0,1,0,1,0,0,0,0
15,15,60,30,22,95054,1,1.5,3,0,0,0,1,1,0
16,16,38,14,130,95010,4,4.7,3,134,0,0,0,0,1
17,17,42,18,81,94305,4,2.4,1,0,0,0,0,0,0
18,18,46,21,193,91604,2,8.1,3,0,0,0,0,0,1
19,19,55,28,21,94720,1,0.5,2,0,1,0,0,1,0
20,20,56,31,25,94015,4,0.9,2,111,0,0,1,0,0
21,21,57,27,63,90095,3,2.0,3,0,0,0,1,0,0
22,22,29,5,62,90277,1,1.2,1,260,0,0,1,0,0
23,23,44,18,43,91320,2,0.7,1,163,1,0,0,0,0
24,24,36,11,152,95521,2,3.9,1,159,0,0,0,1,0
25,25,43,19,29,94305,3,0.5,1,97,0,0,1,0,0
26,26,40,16,83,95064,4,0.2,3,0,0,0,0,0,0
27,27,46,20,158,90064,1,2.4,1,0,0,0,1,1,0
28,28,56,30,48,94539,1,2.2,3,0,0,0,1,1,0
29,29,38,13,119,94104,1,3.3,2,0,0,1,1,1,1
30,30,59,35,35,93106,1,1.2,3,122,0,0,1,0,0
31,31,40,16,29,94117,1,2.0,2,0,0,0,1,0,0
32,32,53,28,41,94801,2,0.6,3,193,0,0,0,0,0
33,33,30,6,18,91330,3,0.9,3,0,0,0,0,0,0
34,34,31,5,50,94035,4,1.8,3,0,0,0,1,0,0
35,35,48,24,81,92647,3,0.7,1,0,0,0,0,0,0
36,36,59,35,121,94720,1,2.9,1,0,0,0,0,1,0
37,37,51,25,71,95814,1,1.4,3,198,0,0,0,0,0
38,38,42,18,141,94114,3,5.0,3,0,1,1,1,0,1
39,39,38,13,80,94115,4,0.7,3,285,0,0,1,0,0
40,40,57,32,84,92672,3,1.6,3,0,1,0,0,0,0
41,41,34,9,60,94122,3,2.3,1,0,0,0,0,0,0
42,42,32,7,132,90019,4,1.1,2,412,0,0,1,0,1
43,43,39,15,45,95616,1,0.7,1,0,0,0,1,0,0
44,44,46,20,104,94065,1,5.7,1,0,0,0,1,1,0
45,45,57,31,52,94720,4,2.5,1,0,0,0,0,1,0
46,46,39,14,43,95014,3,0.7,2,153,0,0,1,0,0
47,47,37,12,194,91380,4,0.2,3,211,1,1,1,1,1
48,48,56,26,81,95747,2,4.5,3,0,0,0,0,1,0
49,49,40,16,49,92373,1,1.8,1,0,0,0,0,1,0
50,50,32,8,8,92093,4,0.7,2,0,1,0,1,0,0
51,51,61,37,131,94720,1,2.9,1,0,0,0,1,0,0
52,52,30,6,72,94005,1,0.1,1,207,0,0,0,0,0
53,53,50,26,190,90245,3,2.1,3,240,0,0,1,0,1
54,54,29,5,44,95819,1,0.2,3,0,0,0,1,0,0
55,55,41,17,139,94022,2,8.0,1,0,0,0,1,0,0
56,56,55,30,29,94005,3,0.1,2,0,1,1,1,0,0
57,57,56,31,131,95616,2,1.2,3,0,0,0,0,0,1
58,58,28,2,93,94065,2,0.2,1,0,0,0,0,0,0
59,59,31,5,188,91320,2,4.5,1,455,0,0,0,0,0
60,60,49,24,39,90404,3,1.7,2,0,1,0,1,0,0
61,61,47,21,125,93407,1,5.7,1,112,1,0,0,0,0
62,62,42,18,22,90089,1,1.0,1,0,0,0,0,0,0
63,63,42,17,32,94523,4,0.0,2,0,0,0,1,0,0
64,64,47,23,105,90024,2,3.3,1,0,0,0,0,0,0
65,65,59,35,131,91360,1,3.8,1,0,0,0,1,1,0
66,66,62,36,105,95670,2,2.8,1,336,0,0,0,0,0
67,67,53,23,45,95123,4,2.0,3,132,1,0,0,0,0
68,68,47,21,60,93407,3,2.1,1,0,0,0,1,1,0
69,69,53,29,20,90045,4,0.2,1,0,0,0,1,0,0
70,70,42,18,115,91335,1,3.5,1,0,0,0,0,1,0
71,71,53,29,69,93907,4,1.0,2,0,0,0,1,0,0
72,72,44,20,130,92007,1,5.0,1,0,0,0,0,1,0
73,73,41,16,85,94606,1,4.0,3,0,0,0,1,1,0
74,74,28,3,135,94611,2,3.3,1,0,0,0,0,1,0
75,75,31,7,135,94901,4,3.8,2,0,0,1,1,1,1
76,76,58,32,12,91320,3,0.3,3,0,0,0,0,0,0
77,77,46,20,29,92220,3,0.5,2,0,0,0,0,0,0
78,78,54,30,133,93305,2,2.6,3,0,0,0,0,0,1
79,79,50,26,19,94720,2,0.4,1,118,0,0,1,0,0
80,80,60,36,41,95134,4,1.3,1,174,0,0,1,1,0
81,81,47,22,40,94612,3,2.7,2,0,0,0,1,0,0
82,82,41,16,82,92507,1,4.0,3,0,0,0,1,0,0
83,83,33,9,50,94305,1,2.4,2,0,0,0,0,0,0
84,84,46,22,18,91730,1,0.9,3,0,0,0,1,0,0
85,85,27,2,109,94005,4,1.8,3,0,0,0,0,0,0
86,86,40,16,42,94501,4,2.2,2,126,0,0,0,0,0
87,87,48,22,78,94305,3,1.1,1,0,0,0,1,0,0
88,88,65,41,51,94117,2,1.1,1,0,0,0,1,0,0
89,89,25,-1,113,94303,4,2.3,3,0,0,0,0,1,0
90,90,55,30,118,90277,4,5.6,2,0,0,0,1,0,1
91,91,35,10,29,94105,4,1.1,3,0,0,0,1,0,0
92,92,43,19,34,94305,3,0.6,2,0,0,0,0,0,0
93,93,60,34,64,94550,2,1.7,3,236,1,0,1,0,0
94,94,65,39,121,92612,1,2.0,1,0,0,0,0,0,0
95,95,38,12,48,95617,4,0.2,3,0,0,0,1,0,0
96,96,41,15,80,95014,1,5.2,1,0,0,0,0,0,0
97,97,54,28,161,92121,1,2.9,1,0,0,0,1,0,0
98,98,49,23,94,92374,1,0.3,1,0,0,0,1,0,0
99,99,66,41,15,91711,3,0.1,3,0,0,0,1,0,0
100,100,48,23,74,94080,1,1.2,1,0,0,0,1,0,0
101,101,61,36,30,94608,3,1.3,2,0,0,0,0,0,0
102,102,53,23,44,93555,3,1.0,3,198,0,0,1,1,0
103,103,43,18,22,95670,2,0.3,2,0,0,0,1,0,0
104,104,56,32,38,93311,4,1.3,1,166,0,0,1,1,0
105,105,24,0,35,94704,3,0.1,2,0,1,0,1,0,0
106,106,43,17,69,92717,4,2.9,1,0,0,0,1,1,0
107,107,42,18,43,92037,1,0.7,1,136,0,0,0,0,0
108,108,33,7,32,95136,1,0.6,3,166,0,0,1,0,0
109,109,43,17,49,94542,1,2.8,1,0,0,0,1,0,0
110,110,41,14,9,91330,3,1.0,2,0,0,0,0,0,0
111,111,62,38,45,94143,4,1.3,2,0,0,0,1,0,0
112,112,40,15,82,91775,3,1.0,1,309,0,0,0,0,0
113,113,58,34,92,92703,2,2.8,1,103,0,0,0,0,0
114,114,39,14,39,92354,3,0.5,3,0,0,0,1,0,0
115,115,65,40,81,92024,3,1.8,2,0,0,0,1,0,0
116,116,54,29,35,92831,1,1.5,2,0,0,0,1,0,0
117,117,58,33,61,92833,2,2.3,3,193,0,0,1,0,0
118,118,41,16,73,92647,3,3.0,1,0,0,0,1,0,0
119,119,32,7,112,94304,1,4.6,1,366,0,0,0,0,0
120,120,54,29,12,90057,2,0.2,3,0,0,0,1,0,0
121,121,52,26,38,91711,3,0.9,3,0,0,0,1,0,0
122,122,58,32,73,94523,2,0.7,2,0,0,0,1,1,0
123,123,37,13,84,92130,1,3.6,2,0,1,0,0,0,0
124,124,39,15,78,92121,4,2.4,1,118,0,0,1,0,0
125,125,60,35,80,91301,3,0.5,1,0,0,0,1,0,0
126,126,31,5,115,92096,2,1.3,1,101,0,0,1,1,0
127,127,34,8,82,92646,1,2.7,2,251,0,0,1,0,0
128,128,38,14,74,92182,2,0.0,1,0,1,0,1,0,0
129,129,41,16,70,92131,3,0.5,3,0,0,0,0,1,0
130,130,28,4,81,94801,3,1.5,1,276,0,0,1,0,0
131,131,58,34,149,93720,4,7.2,2,0,0,1,1,1,1
132,132,31,1,51,90840,2,1.75,3,0,0,0,0,0,0
133,133,30,4,39,90245,3,1.1,2,0,0,0,1,0,0
134,134,53,29,98,95035,3,1.8,2,0,0,0,0,0,0
135,135,58,33,45,93010,4,2.1,1,0,0,0,1,1,0
136,136,59,32,49,95035,4,2.5,2,0,0,0,1,0,0
137,137,49,25,128,95054,2,0.4,1,0,0,0,0,0,0
138,138,59,34,42,94928,3,1.5,1,0,1,1,0,1,0
139,139,59,35,18,93305,1,1.2,3,0,0,0,1,0,0
140,140,51,25,31,90245,2,0.4,3,161,0,0,1,1,0
141,141,35,11,58,95831,3,2.0,1,149,0,0,1,1,0
142,142,33,9,48,91770,1,2.1,3,0,0,0,0,1,0
143,143,25,1,54,94117,4,1.6,1,0,0,0,1,1,0
144,144,49,23,70,92093,2,1.5,2,0,0,0,0,0,0
145,145,59,35,124,90007,1,7.4,1,0,0,0,0,1,0
146,146,46,19,84,94102,1,2.6666666666666665,2,0,0,0,1,1,0
147,147,50,25,83,94542,4,3.6,3,188,0,0,1,0,0
148,148,52,28,163,91423,2,0.4,1,116,0,0,1,0,0
149,149,48,22,42,93955,3,2.2,2,0,0,0,0,0,0
150,150,46,22,118,94107,2,7.5,1,0,0,1,1,1,0
151,151,26,0,132,92834,3,6.5,3,0,0,0,0,1,1
152,152,57,32,24,93117,1,1.3,1,0,0,0,1,1,0
153,153,60,36,22,94551,2,1.0,1,0,1,1,1,1,0
154,154,54,29,58,92612,4,1.3,3,0,0,0,0,0,0
155,155,24,0,60,94596,4,1.6,1,0,0,0,1,0,0
156,156,26,0,15,92131,4,0.4,1,0,0,0,0,1,0
157,157,41,17,83,94025,4,2.6666666666666665,1,0,0,0,1,1,0
158,158,32,6,79,94720,2,1.5,3,0,0,0,1,1,0
159,159,61,35,41,94545,4,1.7,2,0,1,0,1,0,0
160,160,29,0,134,95819,4,6.5,3,0,0,0,0,0,1
161,161,61,35,80,95053,2,2.8,1,0,0,0,1,0,0
162,162,38,12,52,90036,1,2.0,1,0,0,0,0,0,0
163,163,28,4,70,91125,4,2.6,1,0,0,0,1,0,0
164,164,53,27,92,95120,2,1.1,1,0,1,0,0,0,0
165,165,27,1,43,94706,1,1.5,1,0,0,0,1,0,0
166,166,25,1,21,95827,3,1.0,2,0,0,0,0,0,0
167,167,33,9,23,94305,3,0.9,3,0,0,0,1,1,0
168,168,50,26,13,91320,4,1.0,1,0,0,0,1,0,0
169,169,27,1,112,90503,4,2.1,3,0,0,0,0,1,0
170,170,27,1,138,90250,2,2.0,1,0,0,0,1,0,0
171,171,52,28,11,95817,3,0.4,1,0,1,0,0,0,0
172,172,38,13,171,92717,2,7.8,1,0,0,0,1,0,0
173,173,58,34,42,90095,4,1.5,1,0,0,0,1,1,0
174,174,42,17,168,95503,2,7.9,2,0,0,0,1,0,1
175,175,45,20,85,91711,4,1.1,2,0,1,0,1,0,0
176,176,52,25,44,93111,3,1.0,2,135,0,0,1,0,0
177,177,29,3,65,94132,4,1.8,2,244,0,0,0,0,0
178,178,53,29,24,95818,4,0.2,1,0,0,0,1,1,0
179,179,62,37,11,91942,1,0.1,1,0,0,0,1,0,0
180,180,51,27,38,90401,2,1.0,3,164,0,0,1,0,0
181,181,36,12,10,93524,4,0.7,2,81,0,0,0,0,0
182,182,24,0,135,95133,1,1.5,1,0,0,0,1,0,0
183,183,29,3,148,92173,3,4.1,1,0,0,0,1,0,1
184,184,52,26,63,92717,2,1.5,2,0,1,0,1,0,0
185,185,39,14,115,91320,1,1.0,3,0,0,0,1,0,0
186,186,48,23,45,95616,1,0.3,1,0,0,0,1,1,0
187,187,46,21,159,94305,3,1.9,3,315,0,0,1,0,1
188,188,64,40,169,91320,2,2.1,1,122,0,0,1,0,0
189,189,55,29,112,94043,2,1.4,1,0,0,0,1,0,0
190,190,60,36,93,92521,1,4.3,1,0,0,0,1,0,0
191,191,51,25,29,90404,1,0.3,3,140,0,0,0,0,0
192,192,50,23,85,92122,1,2.6666666666666665,2,0,0,0,1,0,0
193,193,48,24,21,93118,4,0.6,1,0,0,0,1,1,0
194,194,53,29,144,92697,2,6.8,1,0,0,0,1,0,0
195,195,34,10,13,94577,4,1.0,1,95,1,0,1,0,0
196,196,48,24,165,93407,1,5.0,1,0,0,0,0,1,0
197,197,55,31,9,91345,4,0.7,1,89,0,0,1,0,0
198,198,27,3,59,94123,4,0.0,1,90,1,0,1,0,0
